SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.227585621,38,0,0.153039832,6200.0,7,0,0,0,0.0
0,0.034707053,55,0,0.190254174,6648.0,6,0,1,0,1.0
0,0.054939561,56,0,0.42430923,6803.0,10,0,2,0,2.0
0,0.017677755,63,0,0.043991202,5000.0,6,0,0,0,0.0
0,0.387184862,64,0,0.302843016,11325.0,14,0,1,0,1.0
0,0.007348785,69,0,0.3068,7499.0,7,0,1,0,0.0
0,0.92103948,43,0,0.404690483,3666.0,7,0,1,0,0.0
0,0.648351648,27,0,19.0,,2,2,0,0,2.0
0,0.002364357,71,0,0.506906437,7673.0,12,0,2,0,0.0
0,0.032654667,67,0,29.0,,4,0,0,0,
0,0.239906815,54,0,0.54038282,4283.0,7,0,1,0,0.0
0,0.0,32,0,0.028934368,4250.0,1,2,0,0,0.0
0,0.055828164,59,1,0.412335808,1750.0,9,0,1,0,0.0
0,0.9999999,48,0,0.005171522,5800.0,0,0,0,0,4.0
0,0.0471254,56,0,0.329633528,10450.0,18,0,2,0,0.0
0,0.38225696,48,0,0.410747761,4800.0,11,0,1,0,1.0
0,0.080947153,58,0,0.611394077,5300.0,13,0,3,0,1.0
0,0.618879692,56,0,0.326722773,12000.0,20,0,1,0,1.0
0,0.034570331,62,0,0.274610165,8400.0,13,0,1,0,3.0
0,0.017364592,64,0,2530.0,,11,0,3,0,1.0
0,0.014039954,76,0,0.153846154,4705.0,10,0,1,0,0.0
0,0.661077072,35,0,0.224993437,3808.0,7,0,0,0,0.0
0,0.122203704,60,0,0.21922626,14500.0,10,0,1,0,2.0
0,0.0,70,1,0.291852139,5166.0,8,0,2,0,0.0
0,0.9999999,57,0,4189.0,,3,0,2,0,0.0
0,1.02360501,65,0,0.876425856,2629.0,5,0,1,0,0.0
0,0.916527784,44,2,1.552023907,3680.0,19,0,1,0,1.0
0,0.092752224,36,0,17.62376238,100.0,6,0,1,0,1.0
0,0.9999999,47,0,0.0,,4,0,0,0,0.0
0,0.069707823,59,0,0.341019873,10667.0,10,0,2,0,1.0
0,0.076263925,31,0,0.00159968,5000.0,3,0,0,0,1.0
0,0.36535316,60,0,0.47458236,5566.0,15,0,1,0,0.0
0,0.0,61,0,2.701622971,800.0,4,0,1,0,0.0
0,0.018638371,89,0,20.0,,5,0,0,0,
0,0.009357173,40,0,0.547626474,16030.0,19,0,6,0,1.0
0,0.854731046,54,0,0.4679594,6600.0,12,0,1,0,1.0
0,0.006906979,51,0,0.562962963,5129.0,16,0,1,0,0.0
0,0.535962335,52,0,0.41085117,10044.0,17,0,2,0,3.0
0,0.0,67,0,69.0,,5,0,0,0,0.0
0,0.020155104,65,0,101.0,,17,0,0,0,0.0
0,0.280621413,43,0,0.35572327,3974.0,9,0,0,0,2.0
0,0.259989773,49,0,0.470113325,13500.0,15,0,4,0,1.0
0,0.956008798,46,0,0.355166573,1770.0,5,1,0,0,0.0
0,0.014075014,71,0,0.008962427,2900.0,4,0,0,0,0.0
0,0.082393618,75,0,854.0,,7,0,1,0,0.0
0,0.646823566,54,2,0.947342275,2012.0,10,0,1,0,5.0
0,0.806387226,32,0,0.063688213,4207.0,3,0,0,0,3.0
0,0.9999999,45,0,1.477184841,1292.0,3,0,1,0,2.0
0,0.452898278,48,2,0.587227097,4900.0,11,0,2,0,2.0
0,0.0,48,0,0.208279763,11666.0,8,0,1,0,3.0
0,1.099800399,26,0,0.188801639,2928.0,7,0,0,0,0.0
0,0.535963255,61,0,0.306364412,10542.0,13,0,1,0,1.0
0,0.187394408,58,0,0.087837189,10416.0,10,0,1,0,4.0
0,0.503115287,55,0,0.335787656,11000.0,14,0,1,0,3.0
0,0.873376373,45,0,6564.0,,9,0,2,0,0.0
0,0.21742443,66,0,0.235344532,5833.0,12,0,0,0,1.0
0,0.0,57,0,0.23423536,16000.0,5,0,3,0,2.0
0,0.167445814,31,0,0.35637149,12500.0,15,0,2,0,0.0
0,0.000553562,59,0,3244.0,0.0,9,0,1,0,0.0
0,0.451483876,47,0,0.279392162,3750.0,7,0,1,0,2.0
0,0.014452856,88,0,19.0,,5,0,0,0,0.0
0,0.0,69,0,0.195573923,7500.0,6,0,1,0,0.0
0,0.461492019,45,0,0.521975972,13400.0,12,0,5,0,3.0
0,0.0,33,0,0.508375819,5491.0,11,0,2,0,0.0
0,0.679330167,74,0,232.0,,4,0,0,1,1.0
0,0.0,64,0,1689.0,,3,0,1,0,0.0
0,0.141165512,37,1,0.656255164,6050.0,15,0,2,0,0.0
0,0.041341017,48,0,0.109682948,3500.0,8,0,0,0,0.0
0,0.255825739,59,0,0.414878016,7500.0,16,0,2,0,0.0
0,0.112767601,61,2,0.48980204,3333.0,11,0,2,0,0.0
0,0.047027483,62,0,1558.0,,10,0,1,0,0.0
0,0.87701755,29,0,2.599503517,2416.0,12,0,2,0,0.0
0,0.0,76,0,38.0,,6,0,0,0,
0,0.197726593,83,0,0.041628959,3314.0,4,0,0,0,0.0
0,0.030479501,72,0,0.236148579,4818.0,9,0,1,0,0.0
0,0.239159913,34,0,0.174781155,10166.0,12,0,2,0,2.0
0,0.033753031,51,0,0.452008586,3260.0,7,0,1,0,2.0
0,0.9999999,40,1,0.634687735,2657.0,4,1,1,0,2.0
0,0.018141447,65,0,0.7185222,6035.0,19,0,3,0,0.0
0,0.032283869,41,0,953.0,0.0,3,0,1,0,6.0
0,0.007347285,52,1,0.280898876,5517.0,6,0,1,0,0.0
0,0.0,74,0,0.219842969,1400.0,6,0,1,0,0.0
0,0.154615128,40,0,0.077141383,3875.0,1,0,0,0,0.0
0,0.126899109,55,0,0.333031088,7719.0,8,0,1,0,0.0
0,0.007070982,89,0,11.0,,11,0,0,0,0.0
0,0.124533859,41,0,0.285652315,9220.0,6,0,1,0,3.0
0,0.185349546,77,0,1468.0,,7,0,1,0,0.0
0,0.625473089,62,0,0.559650326,5833.0,5,0,1,0,0.0
0,0.026423065,58,0,0.085190264,5833.0,18,0,0,0,0.0
0,0.0,52,0,1855.0,0.0,3,0,1,0,0.0
0,0.294355308,53,0,0.197185706,5400.0,17,0,1,0,1.0
0,0.270971635,55,0,0.73365165,4816.0,25,0,2,0,0.0
0,0.014671248,44,1,0.315680596,4833.0,12,0,2,0,2.0
0,0.000488867,41,0,0.319065274,8900.0,5,0,1,0,3.0
0,0.00242967,58,0,0.279786702,6000.0,17,0,2,0,0.0
0,0.293719042,54,2,0.304464005,6361.0,17,0,1,0,0.0
0,0.044101829,49,0,0.468616815,5161.0,12,0,2,0,0.0
0,0.0,44,0,0.0,9500.0,6,0,0,0,1.0
0,0.673817955,35,0,250.0,1.0,4,0,0,0,1.0
0,0.10465277,34,1,1.002903039,5166.0,9,0,1,0,2.0
0,0.402876812,48,1,0.351909523,6100.0,10,0,2,0,1.0
0,0.442970822,41,0,0.168699792,3360.0,10,1,0,0,0.0
0,0.876678083,55,0,0.489269389,12906.0,11,0,3,0,2.0
0,0.107371143,52,0,0.1778005,8801.0,14,0,0,0,1.0
0,0.059884369,62,0,156.0,,5,0,0,0,0.0
0,0.742649249,32,0,0.455472734,5097.0,6,0,2,0,0.0
0,0.665433364,67,0,0.221529671,7700.0,10,0,1,0,0.0
0,0.061620078,42,0,0.325142857,3499.0,3,0,1,0,2.0
0,0.22667321,41,0,0.317613731,6000.0,7,0,0,0,1.0
0,0.540972266,55,0,0.419354839,2200.0,7,0,0,0,0.0
0,0.077134986,23,0,0.086765294,2500.0,4,0,0,0,0.0
0,0.499873424,38,3,0.627945727,4200.0,6,0,1,0,2.0
0,0.0,33,0,0.443611371,3200.0,10,0,0,0,0.0
0,0.76832371,57,0,7518.0,,15,0,3,0,1.0
0,0.993128068,29,0,0.114209659,7888.0,7,0,0,0,0.0
0,0.879762226,27,1,0.282620766,1800.0,5,1,0,0,0.0
0,0.340659341,69,0,0.213487198,2772.0,4,0,0,0,0.0
0,0.881941204,47,0,0.586715867,1625.0,6,1,0,0,0.0
0,0.031142222,45,0,628.0,,8,0,0,0,2.0
0,0.321290465,30,1,0.512315271,3450.0,7,0,1,0,1.0
0,0.444426316,50,0,0.186545286,6480.0,8,0,0,0,2.0
0,0.064583144,47,0,0.409843351,9000.0,12,0,2,0,1.0
0,0.066170132,60,0,0.385885151,14296.0,7,0,3,0,1.0
0,0.32358656,46,0,3158.0,,7,0,1,0,3.0
0,0.028553016,55,1,0.285047149,11134.0,9,0,1,0,2.0
0,0.001070027,34,2,0.432119554,4750.0,12,0,1,0,1.0
0,0.051675866,50,0,0.061903463,11000.0,7,0,0,0,5.0
0,0.237918808,53,0,0.271337832,10075.0,9,0,2,0,0.0
0,0.9999999,60,0,0.022584228,2700.0,0,2,0,0,0.0
0,0.601036131,37,0,0.690267292,4900.0,12,0,1,0,2.0
0,0.762902993,40,0,0.223555289,5000.0,4,0,0,0,3.0
0,0.25566146,78,0,0.079266841,4200.0,8,0,0,0,0.0
0,0.019273092,48,0,0.203053283,10021.0,9,0,2,0,3.0
0,0.04947108,38,0,598.0,,8,0,0,0,3.0
0,0.174608464,30,0,0.002571135,5833.0,1,0,0,0,0.0
0,0.060162702,69,0,89.0,,9,0,0,0,0.0
0,0.0,69,0,133.0,,6,0,1,0,1.0
0,0.0,53,1,1773.0,,6,2,1,1,0.0
0,0.028423019,55,0,0.22447412,16923.0,16,0,2,0,1.0
0,0.749492803,59,0,0.385131556,5662.0,5,0,1,0,1.0
0,0.326951252,52,0,0.640832595,4515.0,11,0,2,0,1.0
0,0.047761348,39,0,0.193282748,17000.0,13,0,2,0,0.0
0,0.070660522,45,0,1387.0,,3,0,1,0,0.0
0,0.086771635,31,1,0.258609198,4500.0,6,0,1,0,0.0
0,0.783216783,23,0,0.028014616,820.0,2,0,0,0,0.0
0,0.100379937,48,0,0.319912733,10083.0,7,0,3,0,0.0
0,0.0,23,0,0.0,898.0,2,0,0,0,0.0
0,0.036192761,26,0,5.0,,2,0,0,0,
0,0.0,54,0,0.0,,4,0,0,0,0.0
0,0.213345123,54,0,0.536800785,8151.0,13,0,2,0,1.0
0,0.830475806,60,0,0.365558912,11584.0,20,0,1,0,0.0
0,0.023586848,37,0,0.361957429,9583.0,8,0,3,0,2.0
0,0.831737928,48,0,0.653589933,1350.0,7,0,0,0,0.0
0,0.320857601,58,0,0.330218439,16800.0,13,0,3,0,1.0
0,0.870194794,67,0,0.180161943,2963.0,2,0,0,0,0.0
0,0.004874508,44,0,0.116916125,24786.0,9,0,1,0,0.0
0,0.069405886,32,0,3.0,,2,0,0,0,0.0
0,0.048209605,50,0,0.340027178,6622.0,11,0,1,0,1.0
0,0.0,38,0,0.828021497,8000.0,9,0,3,0,3.0
0,0.220821447,44,0,0.027903887,9030.0,5,0,0,0,1.0
0,0.454508261,61,0,0.375770705,6000.0,12,0,1,0,1.0
0,0.281750225,26,0,0.09510943,3700.0,6,0,0,0,3.0
0,0.487451255,34,0,0.368959771,4200.0,5,0,0,0,2.0
0,0.0,33,0,0.444213804,5780.0,9,0,1,0,0.0
0,0.780243951,49,0,3727.0,,5,0,2,0,2.0
0,0.06489329,72,0,1383.0,,10,0,1,0,0.0
0,0.9999999,48,2,2150.0,,5,0,2,1,1.0
0,0.11368376,52,0,0.263086846,6666.0,10,0,1,0,0.0
0,0.020928584,44,0,0.418129305,4500.0,12,0,1,0,0.0
0,0.089129412,85,0,0.2161982,9000.0,19,0,1,0,0.0
0,0.046666005,74,0,0.014699265,6666.0,3,0,0,0,1.0
0,0.520940916,57,1,0.823404556,7066.0,16,0,2,0,1.0
0,0.495084546,28,0,0.214781543,2448.0,7,0,0,0,0.0
0,0.241724061,29,0,465.0,,2,0,0,0,
0,0.326309592,50,0,0.98960407,4520.0,18,0,1,0,0.0
0,0.048779313,65,0,0.505492648,11833.0,14,0,5,0,1.0
0,0.660459621,58,0,2517.0,,14,0,2,0,1.0
0,0.408422406,44,0,0.461613501,10250.0,19,0,2,0,2.0
0,0.041766708,78,0,69.0,,4,0,0,0,
0,0.071077157,58,0,0.308292098,6668.0,8,0,1,0,0.0
0,0.297376705,42,1,0.218399691,5173.0,7,4,0,1,1.0
0,0.109578084,35,0,1.301261093,2140.0,3,0,2,0,0.0
0,0.0,36,0,0.230923026,3000.0,3,0,0,0,4.0
0,0.028127218,42,1,0.468236053,3100.0,9,0,1,0,0.0
0,0.00269706,65,0,623.0,,10,0,1,0,0.0
0,0.0,49,0,0.326671791,1300.0,3,0,1,0,1.0
0,0.01298566,71,0,2365.0,,9,0,1,0,0.0
0,0.375199877,50,1,0.473135107,5750.0,16,0,1,0,1.0
0,0.029586362,37,0,0.422097156,3375.0,11,0,3,0,1.0
0,0.020113736,47,0,0.35579415,2700.0,12,0,1,0,2.0
0,0.09116002,62,0,112.0,,4,0,0,0,
0,0.9999999,65,0,858.0,,2,0,1,0,0.0
0,0.013160541,60,1,0.259820639,7916.0,6,0,2,0,0.0
0,0.166247339,60,0,0.168262072,4700.0,4,0,0,0,0.0
0,0.101643013,35,0,0.43647647,5800.0,8,0,1,0,0.0
0,0.039179728,61,1,0.358676291,32000.0,13,0,6,0,0.0
0,0.078384159,44,0,1664.0,0.0,9,0,1,0,2.0
0,0.039149612,64,0,760.0,,5,0,1,0,0.0
0,0.029906195,77,0,0.00719856,5000.0,9,0,0,0,0.0
0,0.361506299,56,0,0.298471537,8308.0,15,0,1,0,0.0
0,0.006613274,46,0,0.616021646,12195.0,17,0,7,0,0.0
0,0.569553881,39,3,0.322425659,7700.0,8,0,1,0,5.0
0,0.101232621,47,0,0.27759261,10500.0,10,0,1,0,2.0
0,0.165922272,30,0,2251.0,,11,0,2,0,0.0
0,0.637310796,47,1,0.478736169,7500.0,16,0,2,0,1.0
0,0.043287642,55,0,0.206326315,10400.0,13,0,1,0,2.0
0,0.699692198,35,0,1410.0,,5,0,0,0,0.0
0,0.943032397,63,0,0.639556152,8200.0,20,0,2,0,0.0
0,0.038163486,28,0,0.286428393,4000.0,13,0,1,0,0.0
0,0.0,63,0,551.0,,4,0,0,0,0.0
0,0.096785424,52,0,3214.0,,5,0,1,0,0.0
0,0.262447305,33,0,0.738815296,4000.0,12,0,1,0,0.0
0,0.954136391,54,0,0.550821233,4200.0,4,0,1,0,3.0
0,0.0,57,0,1855.0,,6,0,1,0,0.0
0,0.00327626,68,0,86.0,,6,0,0,0,0.0
0,0.952095808,23,0,15.5,1.0,1,1,0,0,0.0
0,0.037273952,63,0,0.953488372,1805.0,8,0,1,0,0.0
0,0.786561792,38,0,0.584773604,7000.0,8,0,2,0,3.0
0,0.012461753,54,0,0.222196691,4351.0,11,0,1,0,0.0
0,0.123312781,26,0,0.192884446,3400.0,7,0,0,0,0.0
0,0.104243104,64,0,0.622738002,5083.0,6,0,2,0,1.0
0,0.376196108,37,0,104.0,,5,0,0,0,0.0
0,0.051626977,47,1,0.117868486,8500.0,15,1,0,0,0.0
0,0.596745314,64,0,0.353682316,20000.0,22,0,2,0,1.0
0,1.851254132,39,0,1.041999687,6380.0,10,0,2,0,0.0
0,0.123314942,67,0,0.675735702,1800.0,6,0,1,0,1.0
0,0.034217675,50,3,1.141239174,1500.0,8,0,1,0,2.0
0,0.015645507,65,0,0.012183693,3200.0,5,0,0,0,0.0
0,0.117564069,45,0,0.395920816,5000.0,14,0,1,0,1.0
0,0.052977226,62,0,0.344618242,14000.0,16,1,1,0,0.0
0,0.024008016,68,0,0.298103608,4323.0,24,0,1,0,1.0
0,0.025035714,52,0,2664.0,0.0,12,0,4,0,2.0
0,0.172091683,60,0,1198.0,,10,0,1,0,0.0
0,0.247681002,40,0,0.528841717,6500.0,9,0,2,0,3.0
0,0.730478914,63,0,0.361515748,10159.0,19,0,1,0,0.0
0,0.03159842,47,0,18.0,,2,0,0,0,0.0
0,0.397824717,42,0,480.0,,9,0,0,0,2.0
0,0.207642513,62,0,0.191280872,10000.0,6,0,1,0,1.0
0,0.543340538,47,0,0.149738696,4400.0,11,0,0,0,2.0
0,0.882164926,60,0,0.426229508,2500.0,8,0,0,0,0.0
0,0.007663877,37,0,0.127020039,3093.0,9,0,0,0,1.0
0,0.161870182,54,0,0.098891111,5500.0,4,0,0,0,0.0
0,0.257067036,37,0,0.291809152,6140.0,6,0,0,0,4.0
0,0.311373309,62,0,0.341587302,4724.0,4,0,1,0,1.0
0,0.164640786,49,0,0.381500788,8248.0,9,0,1,0,0.0
0,0.1766439,62,0,0.394612608,3600.0,8,0,1,0,0.0
0,0.0,40,0,0.013063183,3750.0,7,0,0,1,1.0
0,0.071421865,51,0,0.103843947,12200.0,8,0,1,0,2.0
0,0.602919854,44,0,0.591526779,1250.0,2,0,0,0,3.0
0,0.600066364,53,1,0.50857819,5070.0,15,0,1,0,1.0
0,0.0,29,0,198.0,,3,0,0,0,0.0
0,0.215483871,72,0,0.27882899,2800.0,8,0,1,0,0.0
0,0.195727009,29,0,107.0,,1,0,0,0,
0,0.487814634,65,0,0.494951167,6040.0,14,0,1,0,0.0
0,0.123386079,33,0,0.215435869,1800.0,5,0,0,0,0.0
0,0.03304371,69,0,0.016660356,2640.0,4,0,0,0,0.0
0,0.600025395,53,1,0.456743869,2935.0,8,0,1,0,1.0
0,0.001034126,61,0,0.574125486,1800.0,9,0,0,0,0.0
0,0.515902884,58,0,0.155655483,8672.0,6,0,0,0,0.0
0,0.583831483,49,0,0.341422312,2966.0,5,0,0,0,1.0
0,0.979002333,53,3,0.3642413,9166.0,6,1,0,3,1.0
0,0.011140451,65,0,2084.0,,7,0,1,0,0.0
0,0.514180549,53,0,0.272321881,9866.0,6,0,2,0,1.0
0,0.495615298,60,1,0.026269459,21583.0,3,0,0,0,1.0
0,0.023316968,74,0,0.134024435,2700.0,12,0,0,0,0.0
0,0.005912786,50,0,0.245971889,5833.0,5,0,1,0,1.0
0,0.806174717,44,0,0.627418629,6666.0,12,0,2,0,0.0
0,0.025499203,36,0,0.856931608,2704.0,13,0,2,0,2.0
0,0.063783688,50,0,0.209232564,12000.0,13,0,2,0,0.0
